2009  12  0  0  0 350
 -95.421   0.2834472656  0.85910     2271.00000 0.8355       1.645499       0.164549
 -90.729   0.2834472656  0.86167     2271.50000 0.8293       1.707423       0.170742
 -84.052   0.2834472656  0.84705     2272.00000 0.8345       1.655249       0.165522
 -76.543   0.2834472656  0.80586     2272.50000 0.8531       1.468844       0.146875
 -54.009   0.2834472656  0.77633     2332.00000 0.9023       0.977062       0.097706
-128.744   0.2834472656  0.78890     2740.00000 0.9763       0.237229       0.023722
-136.058   0.2834472656  0.79203     2740.50000 0.9596       0.404211       0.040421
-139.162   0.2834472656  0.75858     2741.00000 0.9419       0.580539       0.058054
 -96.347   0.2880859375  0.75719     2270.00000 0.8564       1.436144       0.143614
 -97.890   0.2880859375  0.84851     2270.50000 0.8456       1.544488       0.154449
 -95.930   0.2880859375  0.84747     2271.00000 0.8335       1.665466       0.166546
 -91.071   0.2880859375  0.85208     2271.50000 0.8260       1.739985       0.173998
 -84.066   0.2880859375  0.83838     2272.00000 0.8309       1.691198       0.169115
 -76.039   0.2880859375  0.79736     2272.50000 0.8505       1.494920       0.149480
 -54.236   0.2880859375  0.76069     2332.00000 0.9039       0.960865       0.096086
-129.244   0.2880859375  0.78501     2740.00000 0.9766       0.233877       0.023387
-136.482   0.2880859375  0.78858     2740.50000 0.9597       0.403400       0.040340
 -98.470   0.2927246094  0.83495     2270.50000 0.8448       1.551898       0.155190
 -96.427   0.2927246094  0.83508     2271.00000 0.8314       1.685588       0.168558
 -91.411   0.2927246094  0.84180     2271.50000 0.8226       1.773777       0.177378
 -84.078   0.2927246094  0.82911     2272.00000 0.8271       1.729228       0.172916
-129.708   0.2927246094  0.78045     2740.00000 0.9770       0.229661       0.022966
-136.898   0.2927246094  0.78438     2740.50000 0.9598       0.401949       0.040195
 -99.034   0.2973632812  0.82040     2270.50000 0.8441       1.559150       0.155915
 -96.912   0.2973632812  0.82208     2271.00000 0.8294       1.705687       0.170568
 -91.747   0.2973632812  0.83094     2271.50000 0.8191       1.808609       0.180861
-130.136   0.2973632812  0.77532     2740.00000 0.9775       0.224630       0.022463
-137.305   0.2973632812  0.77952     2740.50000 0.9600       0.399903       0.039990
 -99.582   0.3020019531  0.79824     2270.50000 0.8434       1.566181       0.156618
 -97.382   0.3020019531  0.81267     2271.00000 0.8274       1.725600       0.172559
 -92.078   0.3020019531  0.81644     2271.50000 0.8156       1.844290       0.184429
 -66.253   0.3020019531  0.76506     2273.00000 0.8737       1.263341       0.126324
-130.529   0.3020019531  0.76234     2740.00000 0.9781       0.218829       0.021883
-137.705   0.3020019531  0.76186     2740.50000 0.9603       0.397303       0.039730
-140.319   0.3020019531  0.75902     2741.00000 0.9409       0.590851       0.059084
